iter	MAE
0	0.01850732504
1	0.01770380786
2	0.01679800428
3	0.01597811915
4	0.01523534966
5	0.01451588817
6	0.01397011862
7	0.0133505365
8	0.01267948889
9	0.01205108083
10	0.01145654686
11	0.01097121253
12	0.01059888084
13	0.01013851512
14	0.009660252486
15	0.009185880674
16	0.008828616582
17	0.008398200622
18	0.008073633014
19	0.007682657177
20	0.007293065825
21	0.006960764619
22	0.006657879478
23	0.006340492096
24	0.006075140331
25	0.005798320068
26	0.005554521028
27	0.005316851611
28	0.005115527136
29	0.004938946617
30	0.004778266266
31	0.004542989615
32	0.004303337664
33	0.004107257906
34	0.003949871268
35	0.003776808683
36	0.003646686616
37	0.003470507057
38	0.003332966057
39	0.003198413899
40	0.003106479738
41	0.003003189356
42	0.002873349119
43	0.002754999448
44	0.002675323635
45	0.00256314534
46	0.002467910428
47	0.002384335444
48	0.002284104738
49	0.002185897461
50	0.002087478254
51	0.002034521046
52	0.001962149145
53	0.001919632731
54	0.001848889222
55	0.001780568018
56	0.001719024972
57	0.001663335991
58	0.001597475714
59	0.001550461045
60	0.001512767257
61	0.001456396883
62	0.001415026175
63	0.001377191927
64	0.001327619888
65	0.001269584361
66	0.001220982662
67	0.00117835322
68	0.001135336441
69	0.001100670147
70	0.00106540176
71	0.001037892067
72	0.001006505588
73	0.0009799334876
74	0.0009518585754
75	0.0009174862432
76	0.0008907904238
77	0.0008637063779
78	0.0008423839606
79	0.0008135849981
80	0.0007922102922
81	0.0007734782436
82	0.0007421986261
83	0.0007180255487
84	0.0006927680272
85	0.0006730539878
86	0.0006648175943
87	0.0006479513402
88	0.0006242133104
89	0.0006129983522
90	0.0005960504845
91	0.0005865266361
92	0.0005793681283
93	0.0005708239456
94	0.000554480509
95	0.0005350181484
96	0.0005163383784
97	0.000502711503
98	0.00048292057
99	0.0004700952651
100	0.0004577841817
101	0.0004473324504
102	0.0004376042471
103	0.0004209609639
104	0.00041153149
105	0.0004024138812
106	0.0003908499104
107	0.0003828498315
108	0.000374684239
109	0.0003694217842
110	0.0003636492274
111	0.0003570739332
112	0.0003515128271
113	0.0003440287938
114	0.0003371046941
115	0.000329426661
116	0.0003225760571
117	0.0003180233664
118	0.0003149053515
119	0.0003084167293
120	0.0003071957787
121	0.0003036690093
122	0.0003008203803
123	0.0002885745175
124	0.0002836641288
125	0.000274859786
126	0.0002722989675
127	0.0002648619593
128	0.0002620567909
129	0.0002571123084
130	0.0002501912725
131	0.0002448621555
132	0.0002409521812
133	0.0002369571115
134	0.000232775879
135	0.0002308023206
136	0.0002276149286
137	0.0002243535512
138	0.0002217136337
139	0.0002203760805
140	0.000219331666
141	0.0002149774831
142	0.0002086435528
143	0.0002039934997
144	0.0002022645714
145	0.000199635339
146	0.0001970074213
147	0.0001952933817
148	0.0001930041934
149	0.0001888025551
150	0.000186986501
151	0.0001855243338
152	0.0001809605735
153	0.0001796462566
154	0.0001757309447
155	0.0001719283386
156	0.000171260194
157	0.000169474243
158	0.0001676936912
159	0.0001666819022
160	0.0001657207026
161	0.0001648175072
162	0.0001624746614
163	0.0001602498422
164	0.0001587716199
165	0.0001567370072
166	0.0001551935365
167	0.0001539353425
168	0.0001525317981
169	0.0001511170675
170	0.0001497730734
171	0.0001484974897
172	0.0001472868482
173	0.0001461392822
174	0.0001455981865
175	0.0001445249153
176	0.0001412240517
177	0.0001386177754
178	0.0001372944653
179	0.0001368390722
180	0.0001364117874
181	0.0001340089949
182	0.0001313032622
183	0.0001290252202
184	0.0001281004805
185	0.0001278270582
186	0.0001266782751
187	0.0001252040757
188	0.0001208152025
189	0.0001167894256
190	0.0001149671102
191	0.0001124958687
192	0.0001116427252
193	0.0001099058395
194	0.0001093825291
195	0.0001068468064
196	0.0001059257089
197	0.0001050321167
198	0.0001044679514
199	0.0001025956781
